REGIAO;REDE;VL_APROVACAO_2005_SI_4;VL_APROVACAO_2005_SI;VL_APROVACAO_2005_1;VL_APROVACAO_2005_2;VL_APROVACAO_2005_3;VL_APROVACAO_2005_4;VL_INDICADOR_REND_2005;VL_APROVACAO_2007_SI_4;VL_APROVACAO_2007_SI;VL_APROVACAO_2007_1;VL_APROVACAO_2007_2;VL_APROVACAO_2007_3;VL_APROVACAO_2007_4;VL_INDICADOR_REND_2007;VL_APROVACAO_2009_SI_4;VL_APROVACAO_2009_SI;VL_APROVACAO_2009_1;VL_APROVACAO_2009_2;VL_APROVACAO_2009_3;VL_APROVACAO_2009_4;VL_INDICADOR_REND_2009;VL_APROVACAO_2011_SI_4;VL_APROVACAO_2011_SI;VL_APROVACAO_2011_1;VL_APROVACAO_2011_2;VL_APROVACAO_2011_3;VL_APROVACAO_2011_4;VL_INDICADOR_REND_2011;VL_APROVACAO_2013_SI_4;VL_APROVACAO_2013_SI;VL_APROVACAO_2013_1;VL_APROVACAO_2013_2;VL_APROVACAO_2013_3;VL_APROVACAO_2013_4;VL_INDICADOR_REND_2013;VL_APROVACAO_2015_SI_4;VL_APROVACAO_2015_SI;VL_APROVACAO_2015_1;VL_APROVACAO_2015_2;VL_APROVACAO_2015_3;VL_APROVACAO_2015_4;VL_INDICADOR_REND_2015;VL_APROVACAO_2017_SI_4;VL_APROVACAO_2017_SI;VL_APROVACAO_2017_1;VL_APROVACAO_2017_2;VL_APROVACAO_2017_3;VL_APROVACAO_2017_4;VL_INDICADOR_REND_2017;VL_APROVACAO_2019_SI_4;VL_APROVACAO_2019_SI;VL_APROVACAO_2019_1;VL_APROVACAO_2019_2;VL_APROVACAO_2019_3;VL_APROVACAO_2019_4;VL_INDICADOR_REND_2019;VL_APROVACAO_2021_SI_4;VL_APROVACAO_2021_SI;VL_APROVACAO_2021_1;VL_APROVACAO_2021_2;VL_APROVACAO_2021_3;VL_APROVACAO_2021_4;VL_INDICADOR_REND_2021;VL_APROVACAO_2023_SI_4;VL_APROVACAO_2023_SI;VL_APROVACAO_2023_1;VL_APROVACAO_2023_2;VL_APROVACAO_2023_3;VL_APROVACAO_2023_4;VL_INDICADOR_REND_2023;VL_NOTA_MATEMATICA_2005;VL_NOTA_PORTUGUES_2005;VL_NOTA_MEDIA_2005;VL_NOTA_MATEMATICA_2007;VL_NOTA_PORTUGUES_2007;VL_NOTA_MEDIA_2007;VL_NOTA_MATEMATICA_2009;VL_NOTA_PORTUGUES_2009;VL_NOTA_MEDIA_2009;VL_NOTA_MATEMATICA_2011;VL_NOTA_PORTUGUES_2011;VL_NOTA_MEDIA_2011;VL_NOTA_MATEMATICA_2013;VL_NOTA_PORTUGUES_2013;VL_NOTA_MEDIA_2013;VL_NOTA_MATEMATICA_2015;VL_NOTA_PORTUGUES_2015;VL_NOTA_MEDIA_2015;VL_NOTA_MATEMATICA_2017;VL_NOTA_PORTUGUES_2017;VL_NOTA_MEDIA_2017;VL_NOTA_MATEMATICA_2019;VL_NOTA_PORTUGUES_2019;VL_NOTA_MEDIA_2019;VL_NOTA_MATEMATICA_2021;VL_NOTA_PORTUGUES_2021;VL_NOTA_MEDIA_2021;VL_NOTA_MATEMATICA_2023;VL_NOTA_PORTUGUES_2023;VL_NOTA_MEDIA_2023;VL_OBSERVADO_2005;VL_OBSERVADO_2007;VL_OBSERVADO_2009;VL_OBSERVADO_2011;VL_OBSERVADO_2013;VL_OBSERVADO_2015;VL_OBSERVADO_2017;VL_OBSERVADO_2019;VL_OBSERVADO_2021;VL_OBSERVADO_2023;VL_PROJECAO_2007;VL_PROJECAO_2009;VL_PROJECAO_2011;VL_PROJECAO_2013;VL_PROJECAO_2015;VL_PROJECAO_2017;VL_PROJECAO_2019;VL_PROJECAO_2021
Norte;Total;71,8;87;61,3;71,5;77;80,3;0,74;76,1;89,5;66,6;74;80,3;82,4;0,78;81;92;74;77,1;82,7;85,3;0,82;87;95,2;86,8;82,1;85,7;86,9;0,87;88,6;96,5;93,2;83,8;85,7;85,4;0,89;88,9;97;95,6;83,1;85,5;85,6;0,89;89,6;97,4;96,3;83,5;86,9;86,7;0,9;91;97,9;96,6;85,1;88,6;88,9;0,91;95,9;98,4;97,8;94,8;95,1;94,3;0,96;94,8;98,9;98,1;92,5;93,4;91,6;0,95;166,97;160,53;4,07;179,17;163,89;4,37;188,25;172,26;4,69;191,53;176,66;4,84;188,88;177,26;4,8;201,22;190,26;5,27;205,04;196,56;5,46;208,06;196,06;5,5;197,71;189,14;5,18;205,54;196,43;5,46;3;3,4;3,8;4,2;4,3;4,7;4,9;5;5;5,2;3,1;3,4;3,8;4,1;4,4;4,7;5;5,3
Norte;Pública;70,6;87;60,1;70,4;75,9;79,4;0,73;75,2;89,1;65,4;73;79,5;81,6;0,77;80,1;91,6;72,9;76;81,8;84,6;0,81;86,2;95;86,1;81,1;84,9;86,1;0,86;87,8;96,4;92,7;82,8;84,8;84,4;0,88;88,1;96,8;95,3;81,9;84,5;84,6;0,88;88,8;97,2;96;82,2;86;85,7;0,89;90,2;97,8;96,3;83,8;87,6;88;0,9;95,6;98,4;97,6;94,3;94,7;93,8;0,96;94,4;98,9;97,9;91,9;92,8;90,9;0,94;164,13;157,84;3,97;176,66;161,24;4,27;189,1;173,11;4,72;192,7;177,84;4,88;191,09;178,91;4,87;201,8;191,64;5,3;207,22;198,94;5,54;210,06;198,29;5,58;198,76;191,06;5,24;206,34;197,18;5,49;2,9;3,3;3,8;4,2;4,3;4,7;4,9;5;5;5,2;3;3,3;3,7;4;4,3;4,6;4,9;5,2
Norte;Privada (1);96,7;100;95,4;96,9;97,2;97,4;0,97;96,9;96,8;95,7;96,7;97,8;97,6;0,97;97,1;96,4;96,3;97,3;97,6;97,8;0,97;97,7;97,1;97,6;98;98;97,9;0,98;98,1;98,1;98,3;98;98;98,1;0,98;98,3;98,6;98,6;98;98,1;98,1;0,98;98,7;98,8;99,1;98,4;98,5;98,5;0,99;98,9;99,2;99,2;98,6;98,8;98,8;0,99;99,2;99,1;99,2;99;99,2;99,3;0,99;99,3;99,4;99,5;99,2;99,3;99,2;0,99;211,05;202,33;5,67;215,46;202,16;5,76;225,85;211,15;6,12;228,08;213,87;6,21;225,86;218,49;6,25;231,63;226,26;6,5;239,66;236,7;6,85;244,07;235,82;6,92;236,55;231,49;6,69;243,88;236,78;6,93;5,5;5,6;5,9;6,1;6,1;6,4;6,8;6,8;6,6;6,9;5,6;5,9;6,2;6,4;6,7;6,9;7,1;7,3
Norte;Estadual;77,5;92,2;69,2;76,3;80,3;83,3;0,8;79,6;93,9;72,3;77,1;82,9;83,2;0,81;85,7;94,2;83,8;80,5;86,7;87,6;0,86;89,6;97;90,7;82,7;92,2;88,6;0,9;90,7;97,4;95,5;84,7;93;87,1;0,91;90,6;96,7;95,6;83,9;92,2;88,3;0,91;92;97,6;96,4;85,3;94,2;90;0,92;93,1;98,5;97,1;86,4;95,1;91,4;0,93;95,6;98,6;97,4;93,2;95,2;94,9;0,96;96,6;99,1;98,3;94,7;96,7;95,1;0,97;166,4;161,31;4,07;181,91;167,41;4,48;192,83;176,64;4,86;196,01;180,57;4,99;197,44;184,9;5,1;207,77;198,16;5,54;216,51;208,55;5,89;217,91;207,31;5,9;211,18;204,93;5,73;218,5;210,26;5,96;3,2;3,6;4,2;4,5;4,7;5;5,4;5,5;5,5;5,8;3,3;3,6;4,1;4,3;4,6;4,9;5,2;5,5
Rondônia;Total (3)(4);82,4;93;73,7;82,5;86,1;87,7;0,84;85,5;94,7;77,9;83,7;87,1;89,6;0,86;87,2;97,6;80;84,3;86,8;89,5;0,87;88,9;98,5;82,7;86,6;88,7;90,3;0,89;93;98,5;95,5;89,7;89,9;92,2;0,93;92,7;98,3;98,6;85,2;88,9;92,5;0,92;93,1;98,3;98,6;86,5;90,6;94,2;0,93;93,7;98,8;98,8;87,6;90,7;94,7;0,94;98,1;99,6;98,1;97,4;97,6;98,3;0,98;96,7;99,3;97,8;94,4;95,2;96,2;0,97;174,73;166,49;4,33;187,23;171,07;4,65;196,97;178,18;4,97;204,99;187,36;5,29;213,1;196,3;5,61;217,81;207,17;5,89;225,44;215,92;6,2;221,59;207,81;5,98;206,34;199,23;5,53;215,49;205,99;5,83;3,6;4;4,3;4,7;5,2;5,4;5,8;5,6;5,4;5,6;3,7;4;4,5;4,7;5;5,3;5,6;5,9
Rondônia;Pública (4);81,5;93;72,2;81,5;85,3;87;0,83;84,7;94,5;76,3;82,7;86,3;89;0,85;86,5;97,6;79;83,5;86;89;0,87;88,2;98,5;81,7;85,8;88;89,8;0,88;92,6;98,4;95,3;89,1;89,2;91,8;0,93;92,1;98,2;98,5;84,2;88,1;92;0,92;92,5;98,2;98,5;85,4;89,9;93,8;0,93;93,1;98,7;98,6;86,5;89,8;94,2;0,93;98;99,6;97,9;97,2;97,5;98,2;0,98;96,3;99,2;97,6;93,9;94,6;95,8;0,96;171,45;163,51;4,21;184,53;168,51;4,55;196,97;178,18;4,97;202,2;184,31;5,18;210,95;193,95;5,52;215,23;204,49;5,79;222,74;213,21;6,1;218,37;204,18;5,85;202,42;195,05;5,38;211,52;202,09;5,68;3,5;3,9;4,3;4,6;5,1;5,3;5,7;5,5;5,3;5,5;3,6;3,9;4,3;4,6;4,9;5,2;5,5;5,8
Rondônia;Privada (2);97,4;-;95,9;97,8;98,1;98,1;0,97;97,7;98,9;95,8;98,5;98,5;97,9;0,98;97,8;98;96,7;97,5;98,5;98,1;0,98;98,1;99,1;96,7;98,2;98,5;98;0,98;98,9;99,7;98,3;98,5;99,2;98,9;0,99;99,1;99,5;99,4;98,6;99;98,9;0,99;99,3;99,9;99,9;98,4;99,3;98,9;0,99;98,7;99,8;99,6;97,4;97,4;99,4;0,99;99;99,4;99,3;98,6;98,9;99;0,99;99,1;99,9;99,3;98,3;99;99,1;0,99;217,34;205,18;5,84;218,49;200,73;5,79;-;-;-;235,93;221,1;6,49;237,69;223,11;6,56;242,61;232,92;6,84;252,57;243,16;7,21;245,16;234,44;6,91;238,43;233,58;6,77;241,9;231,99;6,8;5,7;5,7;-;6,4;6,5;6,8;7,2;6,8;6,7;6,7;5,8;6;6,4;6,6;6,8;7;7,2;7,4
Rondônia;Estadual;83,7;-;80,6;81,4;85,7;86,7;0,84;85,2;91;80,7;82,2;86,1;88,7;0,86;87,4;96,7;82,4;83,6;86,8;89,6;0,88;87,9;98,4;82,2;85,9;87,8;88,9;0,88;92,9;98,1;96;89,5;90,8;92,3;0,93;92,8;98,4;98,7;86,3;90,2;93,3;0,93;93,9;98,1;98,8;88,6;93,1;95,2;0,95;93,5;98,8;98,2;88,6;91,3;94,5;0,94;97,5;99,3;99,3;96,6;96,7;97,2;0,98;96,9;99,6;97,7;95,2;96,8;96,1;0,97;171,94;166,28;4,27;186,52;170,24;4,62;199,72;180,84;5,07;205,65;187,55;5,3;218,46;201;5,79;222,64;211,87;6,07;231,04;222,02;6,42;223,31;208,63;6,02;210,32;203,19;5,68;218,61;208,66;5,94;3,6;4;4,4;4,7;5,4;5,7;6,1;5,7;5,6;5,8;3,6;4;4,4;4,7;5;5,2;5,5;5,8
Acre;Total (3)(4);74,8;97;60,6;77,4;83;86,8;0,79;79;95,5;65,8;80,9;85,9;89,7;0,82;84,7;91,9;72,3;83,1;88,9;91,6;0,85;87,7;95,4;79;85,2;89,3;92,5;0,88;89,9;97,3;82,3;88,3;91;92,3;0,9;90,3;97,8;83,6;87,9;90,9;93,3;0,9;91,1;98,1;84,1;89,2;91,2;93,8;0,91;92,9;98,3;87,3;91,2;93,3;95,3;0,93;95,7;98,5;94,2;94;95,6;96,2;0,96;94,9;98,5;93,7;94;93,8;94,9;0,95;172,33;170,32;4,35;185,58;173,84;4,67;195,98;182,2;5,02;202,08;187,42;5,23;211,2;198,83;5,61;220,66;209,04;5,98;231,51;219,37;6,38;232,55;217,17;6,36;211,35;205,42;5,74;224,03;214,23;6,14;3,4;3,8;4,3;4,6;5,1;5,4;5,8;5,9;5,5;5,8;3,5;3,8;4,3;4,5;4,8;5,1;5,4;5,7
Acre;Pública (4);73,8;97;59,5;76,5;82,2;86,2;0,78;78,3;95;65;80,3;85,4;89,3;0,82;84,1;91,6;71,5;82,5;88,4;91,3;0,84;87,3;95,3;78,3;84,7;88,9;92,2;0,87;89,6;97,2;81,6;87,8;90,6;92;0,9;89,9;97,8;83;87,4;90,6;92,9;0,9;90,7;98;83,3;88,7;90,8;93,6;0,91;92,6;98,2;86,7;90,7;92,9;95,1;0,93;95,5;98,5;94;93,8;95,4;96;0,96;94,6;98,4;93,4;93,7;93,4;94,6;0,95;169,1;167,65;4,24;182,75;171,13;4,57;195,98;182,2;5,02;200,24;185,21;5,16;209,54;196,92;5,55;218,43;206,43;5,89;229,63;217,44;6,31;230,61;215,17;6,28;208,08;202,08;5,61;221,95;212,32;6,07;3,3;3,7;4,2;4,5;5;5,3;5,7;5,8;5,4;5,7;3,4;3,7;4,1;4,4;4,7;5;5,3;5,6
